Dictionary_Kanji,Dictionary_Kana,Dictionary_Romaji,Meaning,Form_Name,Conj_Kanji,Conj_Kana,Conj_Romaji,Verb_Class
聞く,きく,Kiku,To listen,Volitional Form,聞こう,きこう,Kikou,Godan-ku
泳ぐ,およぐ,Oyogu,To swim,Polite Form,泳ぎます,およぎます,Oyogimasu,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Masu Stem,泳ぎ,およぎ,Oyogi,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Te-Form,泳いで,およいで,Oyoide,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Past Tense (Plain),泳いだ,およいだ,Oyoida,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Continuous Form,泳いでいる,およいでいる,Oyoideiru,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Negative Form,泳がない,およがない,Oyoganai,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Past-Negative Form,泳がなかった,およがなかった,Oyoganakatta,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Passive Form,泳がれる,およがれる,Oyogareru,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Causative Form,泳がせる,およがせる,Oyogaseru,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Causative Passive Form,泳がせられる,およがせられる,Oyogaserareru,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Imperative Form,泳げ,およげ,Oyoge,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,BA Hypothetical Form,泳げば,およげば,Oyogeba,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,TARA Conditional Form,泳いだら,およいだら,Oyoidara,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Potential Form,泳げる,およげる,Oyogeru,Godan-gu
泳ぐ,およぐ,Oyogu,To swim,Volitional Form,泳ごう,およごう,Oyogou,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Polite Form,急ぎます,いそぎます,Isogimasu,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Masu Stem,急ぎ,いそぎ,Isogi,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Te-Form,急いで,いそいで,Isoide,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Past Tense (Plain),急いだ,いそいだ,Isoida,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Continuous Form,急いでいる,いそいでいる,Isoideiru,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Negative Form,急がない,いそがない,Isoganai,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Past-Negative Form,急がなかった,いそがなかった,Isoganakatta,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Passive Form,急がれる,いそがれる,Isogareru,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Causative Form,急がせる,いそがせる,Isogaseru,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Causative Passive Form,急がせられる,いそがせられる,Isogaserareru,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Imperative Form,急げ,いそげ,Isoge,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,BA Hypothetical Form,急げば,いそげば,Isogeba,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,TARA Conditional Form,急いだら,いそいだら,Isoidara,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Potential Form,急げる,いそげる,Isogeru,Godan-gu
急ぐ,いそぐ,Isogu,To hurry,Volitional Form,急ごう,いそごう,Isogou,Godan-gu
話す,はなす,Hanasu,To speak,Polite Form,話します,はなします,Hanashimasu,Godan-su
話す,はなす,Hanasu,To speak,Masu Stem,話し,はなし,Hanashi,Godan-su
話す,はなす,Hanasu,To speak,Te-Form,話して,はなして,Hanashite,Godan-su
話す,はなす,Hanasu,To speak,Past Tense (Plain),話した,はなした,Hanashita,Godan-su
話す,はなす,Hanasu,To speak,Continuous Form,話している,はなしている,Hanashiteiru,Godan-su
話す,はなす,Hanasu,To speak,Negative Form,話さない,はなさない,Hanasanai,Godan-su
話す,はなす,Hanasu,To speak,Past-Negative Form,話さなかった,はなさなかった,Hanasanakatta,Godan-su
話す,はなす,Hanasu,To speak,Passive Form,話される,はなされる,Hanasareru,Godan-su
話す,はなす,Hanasu,To speak,Causative Form,話させる,はなさせる,Hanasaseru,Godan-su
話す,はなす,Hanasu,To speak,Causative Passive Form,話させられる,はなさせられる,Hanasaserareru,Godan-su
話す,はなす,Hanasu,To speak,Imperative Form,話せ,はなせ,Hanase,Godan-su
話す,はなす,Hanasu,To speak,BA Hypothetical Form,話せば,はなせば,Hanaseba,Godan-su
話す,はなす,Hanasu,To speak,TARA Conditional Form,話したら,はなしたら,Hanashitara,Godan-su
話す,はなす,Hanasu,To speak,Potential Form,話せる,はなせる,Hanaseru,Godan-su
話す,はなす,Hanasu,To speak,Volitional Form,話そう,はなそう,Hanasou,Godan-su
押す,おす,Osu,To push,Polite Form,押します,おします,Oshimasu,Godan-su
押す,おす,Osu,To push,Masu Stem,押し,おし,Oshi,Godan-su
押す,おす,Osu,To push,Te-Form,押して,おして,Oshite,Godan-su
押す,おす,Osu,To push,Past Tense (Plain),押した,おした,Oshita,Godan-su
押す,おす,Osu,To push,Continuous Form,押している,おしている,Oshiteiru,Godan-su
押す,おす,Osu,To push,Negative Form,押さない,おさない,Osanai,Godan-su
押す,おす,Osu,To push,Past-Negative Form,押さなかった,おさなかった,Osanakatta,Godan-su
押す,おす,Osu,To push,Passive Form,押される,おされる,Osareru,Godan-su
押す,おす,Osu,To push,Causative Form,押させる,おさせる,Osaseru,Godan-su
押す,おす,Osu,To push,Causative Passive Form,押させられる,おさせられる,Osaserareru,Godan-su
押す,おす,Osu,To push,Imperative Form,押せ,おせ,Ose,Godan-su
押す,おす,Osu,To push,BA Hypothetical Form,押せば,おせば,Oseba,Godan-su
押す,おす,Osu,To push,TARA Conditional Form,押したら,おしたら,Oshitara,Godan-su
押す,おす,Osu,To push,Potential Form,押せる,おせる,Oseru,Godan-su
押す,おす,Osu,To push,Volitional Form,押そう,おそう,Osou,Godan-su
